symbol,price,quantity,side,bid_inclusive_of_sell_spread,sell_spread,timestamp
DOGE-USD,0.40183336,1,bid,0.3994969,0.0058145,2024-12-09T21:37:07.302651012-05:00
DOGE-USD,0.4004481,1,bid,0.39813677,0.00577186,2024-12-09T21:38:07.483839584-05:00
DOGE-USD,0.40029613,1,bid,0.39796571,0.00582174,2024-12-09T21:39:07.662692574-05:00
DOGE-USD,0.401348085,1,bid,0.39900759,0.00583158,2024-12-09T21:40:07.851776964-05:00
DOGE-USD,0.402476015,1,bid,0.40012894,0.00583159,2024-12-09T21:41:08.028528934-05:00
DOGE-USD,0.40355193,1,bid,0.40126103,0.00567684,2024-12-09T21:42:08.230209409-05:00
DOGE-USD,0.40379703,1,bid,0.40149026,0.0057127,2024-12-09T21:43:08.395933331-05:00
DOGE-USD,0.404190385,1,bid,0.40191907,0.00561942,2024-12-09T21:44:08.574164355-05:00
DOGE-USD,0.40441062,1,bid,0.40212085,0.00566199,2024-12-09T21:45:08.786751412-05:00
DOGE-USD,0.405453335,1,bid,0.40315383,0.00567144,2024-12-09T21:46:08.981517181-05:00
DOGE-USD,0.40584214,1,bid,0.40351164,0.00574238,2024-12-09T21:47:09.156921238-05:00
DOGE-USD,0.40569925,1,bid,0.40339482,0.00568014,2024-12-09T21:48:09.333883956-05:00
DOGE-USD,0.40546066,1,bid,0.40320433,0.00556486,2024-12-09T21:49:09.502022091-05:00
DOGE-USD,0.405609965,1,bid,0.40336736,0.00552897,2024-12-09T21:50:09.763608664-05:00
DOGE-USD,0.40373003,1,bid,0.40147473,0.00558616,2024-12-09T21:51:09.922666929-05:00
DOGE-USD,0.401532965,1,bid,0.39925827,0.00566503,2024-12-09T21:52:10.027710234-05:00
DOGE-USD,0.400572795,1,bid,0.39817579,0.00598394,2024-12-09T21:53:10.16965642-05:00
DOGE-USD,0.39936825,1,bid,0.39697685,0.00598796,2024-12-09T21:54:10.310992208-05:00
DOGE-USD,0.40041538,1,bid,0.39808027,0.00583172,2024-12-09T21:55:10.446154667-05:00
DOGE-USD,0.399869115,1,bid,0.39758593,0.00570983,2024-12-09T21:56:10.587238002-05:00
DOGE-USD,0.399039725,1,bid,0.3967434,0.00575463,2024-12-09T21:57:10.733117007-05:00
DOGE-USD,0.3989912,1,bid,0.39666443,0.00583163,2024-12-09T21:58:10.879508141-05:00
DOGE-USD,0.39792614,1,bid,0.39560763,0.00582648,2024-12-09T21:59:11.015393412-05:00
DOGE-USD,0.39812202,1,bid,0.39587829,0.00563578,2024-12-09T22:00:11.157601499-05:00
DOGE-USD,0.39677506,1,bid,0.39448172,0.00577995,2024-12-09T22:01:11.304449901-05:00
DOGE-USD,0.39703958,1,bid,0.3947332,0.00580894,2024-12-09T22:02:11.445754022-05:00
DOGE-USD,0.397464805,1,bid,0.39514877,0.00582702,2024-12-09T22:03:11.593234089-05:00
DOGE-USD,0.3952995,1,bid,0.3929906,0.00584089,2024-12-09T22:04:11.743076551-05:00
DOGE-USD,0.39503876,1,bid,0.39272353,0.00586077,2024-12-09T22:05:11.904590591-05:00
DOGE-USD,0.394664645,1,bid,0.39242562,0.00567323,2024-12-09T22:06:12.063401147-05:00
DOGE-USD,0.39418434,1,bid,0.39200081,0.00553936,2024-12-09T22:07:12.217987346-05:00
DOGE-USD,0.392089385,1,bid,0.38977671,0.00589834,2024-12-09T22:08:12.365706512-05:00
DOGE-USD,0.392492585,1,bid,0.39015887,0.00594588,2024-12-09T22:09:12.513735197-05:00
DOGE-USD,0.392395175,1,bid,0.39011025,0.00582302,2024-12-09T22:10:12.675985164-05:00
DOGE-USD,0.390892885,1,bid,0.38861112,0.00583732,2024-12-09T22:11:12.824996266-05:00
DOGE-USD,0.39048198,1,bid,0.38821918,0.00579489,2024-12-09T22:12:12.975895772-05:00
DOGE-USD,0.390156125,1,bid,0.38791575,0.00574225,2024-12-09T22:13:13.123558175-05:00
DOGE-USD,0.38862717,1,bid,0.38636084,0.00583163,2024-12-09T22:14:13.267071455-05:00
DOGE-USD,0.390753215,1,bid,0.38835695,0.00613243,2024-12-09T22:15:13.417076392-05:00
DOGE-USD,0.393245805,1,bid,0.39087893,0.00601882,2024-12-09T22:16:13.55067575-05:00
DOGE-USD,0.391199105,1,bid,0.38891778,0.00583162,2024-12-09T22:17:13.701274828-05:00
DOGE-USD,0.391830015,1,bid,0.38957251,0.00576144,2024-12-09T22:18:13.850443347-05:00
DOGE-USD,0.39077179,1,bid,0.38835458,0.00618573,2024-12-09T22:19:13.991730351-05:00
DOGE-USD,0.389008575,1,bid,0.3866167,0.00614864,2024-12-09T22:20:14.138575524-05:00
DOGE-USD,0.388814145,1,bid,0.3865761,0.00575608,2024-12-09T22:21:14.2839341-05:00
DOGE-USD,0.38978473,1,bid,0.38751857,0.00581388,2024-12-09T22:22:14.434655988-05:00
DOGE-USD,0.38839873,1,bid,0.38610512,0.0059053,2024-12-09T22:23:14.573573541-05:00
DOGE-USD,0.38783886,1,bid,0.3855326,0.00594644,2024-12-09T22:24:14.725545847-05:00
DOGE-USD,0.388052915,1,bid,0.38578994,0.00583161,2024-12-09T22:25:14.873645879-05:00
DOGE-USD,0.38777084,1,bid,0.38550686,0.00583845,2024-12-09T22:26:15.00922608-05:00
DOGE-USD,0.38867263,1,bid,0.38625763,0.00621346,2024-12-09T22:27:15.156114661-05:00
DOGE-USD,0.38890973,1,bid,0.38664174,0.00583166,2024-12-09T22:28:15.30010803-05:00
DOGE-USD,0.39223801,1,bid,0.38992547,0.00589576,2024-12-09T22:29:15.452376619-05:00
DOGE-USD,0.394848245,1,bid,0.39235645,0.00631077,2024-12-09T22:30:15.596259754-05:00
DOGE-USD,0.395047915,1,bid,0.39260488,0.00618415,2024-12-09T22:31:15.748832736-05:00
DOGE-USD,0.39066471,1,bid,0.38843863,0.00569819,2024-12-09T22:32:15.890442786-05:00
DOGE-USD,0.3913579,1,bid,0.38906605,0.00585615,2024-12-09T22:33:16.042178094-05:00
DOGE-USD,0.394934485,1,bid,0.39243453,0.00633005,2024-12-09T22:34:16.20380772-05:00
DOGE-USD,0.39418274,1,bid,0.39175045,0.00617046,2024-12-09T22:35:16.338515382-05:00
DOGE-USD,0.39362901,1,bid,0.39137212,0.00573355,2024-12-09T22:36:16.498531582-05:00
DOGE-USD,0.39356115,1,bid,0.39123036,0.00592231,2024-12-09T22:37:16.651468582-05:00
DOGE-USD,0.394014005,1,bid,0.39161388,0.00609147,2024-12-09T22:38:16.797511466-05:00
DOGE-USD,0.39452169,1,bid,0.39207688,0.0061969,2024-12-09T22:39:16.933314583-05:00
DOGE-USD,0.39501792,1,bid,0.39273437,0.00578088,2024-12-09T22:40:17.073432807-05:00
DOGE-USD,0.3956448,1,bid,0.39332866,0.00585409,2024-12-09T22:41:17.23736689-05:00
DOGE-USD,0.39565318,1,bid,0.39326855,0.00602707,2024-12-09T22:42:17.388911939-05:00
DOGE-USD,0.39679677,1,bid,0.39436178,0.00613662,2024-12-09T22:43:17.612476041-05:00
DOGE-USD,0.39735178,1,bid,0.39495798,0.00602438,2024-12-09T22:44:17.758833799-05:00
DOGE-USD,0.396437005,1,bid,0.39399897,0.00614987,2024-12-09T22:45:17.90869801-05:00
DOGE-USD,0.39782701,1,bid,0.39551432,0.00581331,2024-12-09T22:46:18.059196156-05:00
DOGE-USD,0.39930142,1,bid,0.39686014,0.00611388,2024-12-09T22:47:18.213645776-05:00
DOGE-USD,0.398321795,1,bid,0.39587612,0.00613995,2024-12-09T22:48:18.355490025-05:00
DOGE-USD,0.3988465,1,bid,0.39665522,0.00549404,2024-12-09T22:49:18.493033624-05:00
DOGE-USD,0.399315395,1,bid,0.39703323,0.00571519,2024-12-09T22:50:18.653385191-05:00
DOGE-USD,0.39954797,1,bid,0.39726224,0.00572079,2024-12-09T22:51:18.799952777-05:00
DOGE-USD,0.40035469,1,bid,0.39818759,0.00541295,2024-12-09T22:52:18.953182509-05:00
DOGE-USD,0.4004982,1,bid,0.39833424,0.00540317,2024-12-09T22:53:19.113304189-05:00
DOGE-USD,0.40116875,1,bid,0.39889947,0.00565667,2024-12-09T22:54:19.285120259-05:00
DOGE-USD,0.4014818,1,bid,0.39908867,0.00596074,2024-12-09T22:55:19.427387456-05:00
DOGE-USD,0.402366425,1,bid,0.4000679,0.00571252,2024-12-09T22:56:19.574185366-05:00
DOGE-USD,0.400710595,1,bid,0.39835896,0.00586866,2024-12-09T22:57:19.730909522-05:00
